"timestamp","message"
"2019-02-20 20:20:09 GMT+0300","AU: 0/0 WR: 100 %. AD: 0/0 WR: 100 %. EAU: 0/0 WR: 100 %. EAD: 0/0 WR: 100 %. TU: 0/0 WR: 100 %. TD: 0/0 WR: 100 %. LAU: 0/0 WR: 100 %. LAD: 1/0 WR: 100 %. LEAU: 0/0 WR: 100 %. LEAD: 1/0 WR: 100 %. LTU: 0/0 WR: 100 %. LTD: 0/0 WR: 100 %. CAU: 0/0 WR: 100 %. CAD: 0/0 WR: 100 %. CEAU: 0/0 WR: 100 %. CEAD: 0/0 WR: 100 %. CTU: 0/0 WR: 100 %. CTD: 0/0 WR: 100 %. CLAU: 0/0 WR: 100 %. CLAD: 0/0 WR: 100 %. CLEAU: 0/0 WR: 100 %. CLEAD: 0/0 WR: 100 %. CLTU: 0/0 WR: 100 %. CLTD: 0/0 WR: 100 %. STUBBU: 0/0 WR: 100 %. STLBBD: 0/0 WR: 100 %. RSIU: 0/0 WR: 100 %. RSID: 0/0 WR: 100 %. ZU: 0/0 WR: 100 %. ZD: 0/0 WR: 100 %. "
"2019-02-20 20:25:06 GMT+0300","Bought: Win payout if Volatility 10 Index is strictly higher than entry spot at 5 minutes after contract start time. (ID: 30730373321)"
"2019-02-20 20:25:06 GMT+0300","Light Absorption Up got the highest win rate of 1 and purchased. Is direction up? true"
"2019-02-20 20:30:08 GMT+0300","Loss amount: -0.35"
"2019-02-20 20:30:08 GMT+0300","AU: 0/0 WR: 100 %. AD: 0/0 WR: 100 %. EAU: 0/0 WR: 100 %. EAD: 0/0 WR: 100 %. TU: 0/0 WR: 100 %. TD: 0/0 WR: 100 %. LAU: 1/0 WR: 100 %. LAD: 1/0 WR: 100 %. LEAU: 0/0 WR: 100 %. LEAD: 1/0 WR: 100 %. LTU: 0/0 WR: 100 %. LTD: 0/0 WR: 100 %. CAU: 0/0 WR: 100 %. CAD: 0/0 WR: 100 %. CEAU: 0/0 WR: 100 %. CEAD: 0/0 WR: 100 %. CTU: 0/0 WR: 100 %. CTD: 0/0 WR: 100 %. CLAU: 0/0 WR: 100 %. CLAD: 0/0 WR: 100 %. CLEAU: 0/0 WR: 100 %. CLEAD: 0/0 WR: 100 %. CLTU: 0/0 WR: 100 %. CLTD: 0/0 WR: 100 %. STUBBU: 0/0 WR: 100 %. STLBBD: 0/0 WR: 100 %. RSIU: 0/0 WR: 100 %. RSID: 0/0 WR: 100 %. ZU: 0/0 WR: 100 %. ZD: 0/0 WR: 100 %. "
"2019-02-20 20:35:03 GMT+0300","Bought: Win payout if Volatility 10 Index is strictly lower than entry spot at 5 minutes after contract start time. (ID: 30730547441)"
"2019-02-20 20:35:03 GMT+0300","Zigzag Down got the highest win rate of 1 and purchased. Is direction up? false"
"2019-02-20 20:40:28 GMT+0300","Loss amount: -0.61"
"2019-02-20 20:40:28 GMT+0300","AU: 0/0 WR: 100 %. AD: 0/0 WR: 100 %. EAU: 0/0 WR: 100 %. EAD: 0/0 WR: 100 %. TU: 0/0 WR: 100 %. TD: 0/0 WR: 100 %. LAU: 1/0 WR: 100 %. LAD: 1/0 WR: 100 %. LEAU: 0/0 WR: 100 %. LEAD: 1/0 WR: 100 %. LTU: 0/0 WR: 100 %. LTD: 0/0 WR: 100 %. CAU: 0/0 WR: 100 %. CAD: 0/0 WR: 100 %. CEAU: 0/0 WR: 100 %. CEAD: 0/0 WR: 100 %. CTU: 0/0 WR: 100 %. CTD: 0/0 WR: 100 %. CLAU: 0/0 WR: 100 %. CLAD: 0/0 WR: 100 %. CLEAU: 0/0 WR: 100 %. CLEAD: 0/0 WR: 100 %. CLTU: 0/0 WR: 100 %. CLTD: 0/0 WR: 100 %. STUBBU: 0/0 WR: 100 %. STLBBD: 0/0 WR: 100 %. RSIU: 0/0 WR: 100 %. RSID: 0/0 WR: 100 %. ZU: 0/0 WR: 100 %. ZD: 1/0 WR: 100 %. "
"2019-02-20 21:35:03 GMT+0300","Bought: Win payout if Volatility 10 Index is strictly higher than entry spot at 5 minutes after contract start time. (ID: 30731603081)"
"2019-02-20 21:35:03 GMT+0300","Classic Light Absorption Up got the highest win rate of 1 and purchased. Is direction up? true"
"2019-02-20 21:40:04 GMT+0300","Loss amount: -1.07"
"2019-02-20 21:40:04 GMT+0300","AU: 0/0 WR: 100 %. AD: 0/0 WR: 100 %. EAU: 0/0 WR: 100 %. EAD: 0/0 WR: 100 %. TU: 0/0 WR: 100 %. TD: 0/0 WR: 100 %. LAU: 1/0 WR: 100 %. LAD: 1/0 WR: 100 %. LEAU: 0/0 WR: 100 %. LEAD: 1/0 WR: 100 %. LTU: 0/0 WR: 100 %. LTD: 0/0 WR: 100 %. CAU: 0/0 WR: 100 %. CAD: 0/0 WR: 100 %. CEAU: 0/0 WR: 100 %. CEAD: 0/0 WR: 100 %. CTU: 0/0 WR: 100 %. CTD: 0/0 WR: 100 %. CLAU: 1/0 WR: 100 %. CLAD: 0/0 WR: 100 %. CLEAU: 0/0 WR: 100 %. CLEAD: 0/0 WR: 100 %. CLTU: 0/0 WR: 100 %. CLTD: 0/0 WR: 100 %. STUBBU: 0/0 WR: 100 %. STLBBD: 0/0 WR: 100 %. RSIU: 0/0 WR: 100 %. RSID: 0/0 WR: 100 %. ZU: 0/0 WR: 100 %. ZD: 1/0 WR: 100 %. "
"2019-02-20 23:10:04 GMT+0300","Bought: Win payout if Volatility 10 Index is strictly higher than entry spot at 5 minutes after contract start time. (ID: 30733076281)"
"2019-02-20 23:10:04 GMT+0300","Zigzag Down got the highest win rate of 1 and purchased. Is direction up? true"
"2019-02-20 23:15:04 GMT+0300","Profit amount: 1.77"
"2019-02-20 23:15:05 GMT+0300","AU: 0/0 WR: 100 %. AD: 0/0 WR: 100 %. EAU: 0/0 WR: 100 %. EAD: 0/0 WR: 100 %. TU: 0/0 WR: 100 %. TD: 0/0 WR: 100 %. LAU: 1/0 WR: 100 %. LAD: 1/0 WR: 100 %. LEAU: 0/0 WR: 100 %. LEAD: 1/0 WR: 100 %. LTU: 0/0 WR: 100 %. LTD: 0/0 WR: 100 %. CAU: 0/0 WR: 100 %. CAD: 0/0 WR: 100 %. CEAU: 0/0 WR: 100 %. CEAD: 0/0 WR: 100 %. CTU: 0/0 WR: 100 %. CTD: 0/0 WR: 100 %. CLAU: 1/0 WR: 100 %. CLAD: 0/0 WR: 100 %. CLEAU: 0/0 WR: 100 %. CLEAD: 0/0 WR: 100 %. CLTU: 0/0 WR: 100 %. CLTD: 0/0 WR: 100 %. STUBBU: 0/0 WR: 100 %. STLBBD: 0/0 WR: 100 %. RSIU: 0/0 WR: 100 %. RSID: 0/0 WR: 100 %. ZU: 0/0 WR: 100 %. ZD: 2/0 WR: 100 %. "
"2019-02-20 00:20:03 GMT+0300","Bought: Win payout if Volatility 10 Index is strictly higher than entry spot at 5 minutes after contract start time. (ID: 30733903741)"
"2019-02-20 00:20:04 GMT+0300","Absorption Up got the highest win rate of 1 and purchased. Is direction up? true"
"2019-02-20 00:25:36 GMT+0300","Loss amount: -0.35"
"2019-02-20 00:25:36 GMT+0300","AU: 1/0 WR: 100 %. AD: 0/0 WR: 100 %. EAU: 1/0 WR: 100 %. EAD: 0/0 WR: 100 %. TU: 0/0 WR: 100 %. TD: 0/0 WR: 100 %. LAU: 2/0 WR: 100 %. LAD: 1/0 WR: 100 %. LEAU: 1/0 WR: 100 %. LEAD: 1/0 WR: 100 %. LTU: 0/0 WR: 100 %. LTD: 0/0 WR: 100 %. CAU: 1/0 WR: 100 %. CAD: 0/0 WR: 100 %. CEAU: 1/0 WR: 100 %. CEAD: 0/0 WR: 100 %. CTU: 0/0 WR: 100 %. CTD: 0/0 WR: 100 %. CLAU: 2/0 WR: 100 %. CLAD: 0/0 WR: 100 %. CLEAU: 1/0 WR: 100 %. CLEAD: 0/0 WR: 100 %. CLTU: 0/0 WR: 100 %. CLTD: 0/0 WR: 100 %. STUBBU: 0/0 WR: 100 %. STLBBD: 0/0 WR: 100 %. RSIU: 1/0 WR: 100 %. RSID: 0/0 WR: 100 %. ZU: 0/0 WR: 100 %. ZD: 2/0 WR: 100 %. "
"2019-02-20 00:30:00 GMT+0300","Bought: Win payout if Volatility 10 Index is strictly higher than entry spot at 5 minutes after contract start time. (ID: 30734008861)"
"2019-02-20 00:30:00 GMT+0300","Zigzag Down got the highest win rate of 1 and purchased. Is direction up? true"
"2019-02-20 00:35:06 GMT+0300","Profit amount: 0.57"
"2019-02-20 00:35:06 GMT+0300","AU: 1/0 WR: 100 %. AD: 0/0 WR: 100 %. EAU: 1/0 WR: 100 %. EAD: 0/0 WR: 100 %. TU: 0/0 WR: 100 %. TD: 0/0 WR: 100 %. LAU: 2/0 WR: 100 %. LAD: 1/0 WR: 100 %. LEAU: 1/0 WR: 100 %. LEAD: 1/0 WR: 100 %. LTU: 0/0 WR: 100 %. LTD: 0/0 WR: 100 %. CAU: 1/0 WR: 100 %. CAD: 0/0 WR: 100 %. CEAU: 1/0 WR: 100 %. CEAD: 0/0 WR: 100 %. CTU: 0/0 WR: 100 %. CTD: 0/0 WR: 100 %. CLAU: 2/0 WR: 100 %. CLAD: 0/0 WR: 100 %. CLEAU: 1/0 WR: 100 %. CLEAD: 0/0 WR: 100 %. CLTU: 0/0 WR: 100 %. CLTD: 0/0 WR: 100 %. STUBBU: 0/0 WR: 100 %. STLBBD: 0/0 WR: 100 %. RSIU: 1/0 WR: 100 %. RSID: 0/0 WR: 100 %. ZU: 0/0 WR: 100 %. ZD: 3/0 WR: 100 %. "
"2019-02-20 00:55:00 GMT+0300","Bought: Win payout if Volatility 10 Index is strictly higher than entry spot at 5 minutes after contract start time. (ID: 30734272661)"
"2019-02-20 00:55:00 GMT+0300","Zigzag Up got the highest win rate of 1 and purchased. Is direction up? true"
"2019-02-20 01:00:01 GMT+0300","Loss amount: -0.35"
"2019-02-20 01:00:03 GMT+0300","AU: 1/0 WR: 100 %. AD: 0/0 WR: 100 %. EAU: 1/0 WR: 100 %. EAD: 0/0 WR: 100 %. TU: 0/0 WR: 100 %. TD: 0/0 WR: 100 %. LAU: 2/0 WR: 100 %. LAD: 1/0 WR: 100 %. LEAU: 1/0 WR: 100 %. LEAD: 1/0 WR: 100 %. LTU: 0/0 WR: 100 %. LTD: 0/0 WR: 100 %. CAU: 1/0 WR: 100 %. CAD: 0/0 WR: 100 %. CEAU: 1/0 WR: 100 %. CEAD: 0/0 WR: 100 %. CTU: 0/0 WR: 100 %. CTD: 0/0 WR: 100 %. CLAU: 2/0 WR: 100 %. CLAD: 0/0 WR: 100 %. CLEAU: 1/0 WR: 100 %. CLEAD: 0/0 WR: 100 %. CLTU: 0/0 WR: 100 %. CLTD: 0/0 WR: 100 %. STUBBU: 0/0 WR: 100 %. STLBBD: 0/0 WR: 100 %. RSIU: 1/0 WR: 100 %. RSID: 0/0 WR: 100 %. ZU: 1/0 WR: 100 %. ZD: 3/0 WR: 100 %. "
"2019-02-20 01:00:05 GMT+0300","Bought: Win payout if Volatility 10 Index is strictly lower than entry spot at 5 minutes after contract start time. (ID: 30734322061)"
