"id","timestamp","reference","contract_type","entry_tick","exit_tick","buy_price","sell_price","profit"
1366,"2019-03-09 15:16:56 GMT+0300","84432975808","CALL","8149.759","8149.474","0.70","0.00","-0.70"
1367,"2019-03-09 15:22:04 GMT+0300","84433506268","PUT","8148.832","8149.743","1.40","0.00","-1.40"
1368,"2019-03-09 15:27:12 GMT+0300","84434043528","CALL","8149.630","8151.872","2.80",5.44,"2.64"
1369,"2019-03-09 15:32:20 GMT+0300","84434569568","PUT","8152.841","8154.059",0.35,"0.00","-0.35"
1370,"2019-03-09 15:37:28 GMT+0300","84435105248","CALL","8153.998","8153.893","0.70","0.00","-0.70"
1371,"2019-03-09 15:42:36 GMT+0300","84435614788","PUT","8154.215","8152.670","1.40",2.72,"1.32"
1372,"2019-03-09 15:47:44 GMT+0300","84436079488","PUT","8152.703","8149.110",0.35,0.66,"0.31"
1373,"2019-03-09 15:52:50 GMT+0300","84436592008","PUT","8149.510","8145.938",0.35,0.66,"0.31"
1374,"2019-03-09 15:57:56 GMT+0300","84437121968","PUT","8145.980","8146.312",0.35,"0.00","-0.35"
1375,"2019-03-09 16:03:04 GMT+0300","84437656568","PUT","8146.161","8147.948","0.70","0.00","-0.70"
1376,"2019-03-09 16:08:12 GMT+0300","84438217688","CALL","8148.050","8147.106","1.40","0.00","-1.40"
1377,"2019-03-09 16:13:20 GMT+0300","84438786128","CALL","8146.854","8146.348","2.80","0.00","-2.80"
1378,"2019-03-09 16:18:28 GMT+0300","84439355808","PUT","8146.086","8146.084","5.60",10.87,"5.27"
1379,"2019-03-09 16:23:36 GMT+0300","84439922648","CALL","8145.731","8144.005",0.35,"0.00","-0.35"
1380,"2019-03-09 16:28:44 GMT+0300","84440477068","CALL","8143.544","8142.829","0.70","0.00","-0.70"
1381,"2019-03-09 16:33:52 GMT+0300","84441039808","PUT","8143.165","8145.522","1.40","0.00","-1.40"
1382,"2019-03-09 16:39:02 GMT+0300","84441619628","CALL","8145.682","8145.514","2.80","0.00","-2.80"
1383,"2019-03-09 16:44:10 GMT+0300","84442194008","CALL","8144.997","8146.657","5.60",10.88,"5.28"
1384,"2019-03-09 16:49:18 GMT+0300","84442769788","PUT","8147.350","8148.148",0.35,"0.00","-0.35"
1385,"2019-03-09 16:54:26 GMT+0300","84443366088","CALL","8148.148","8148.415","0.70",1.36,"0.66"
1386,"2019-03-09 16:59:34 GMT+0300","84443957988","CALL","8148.940","8150.337",0.35,0.66,"0.31"
1387,"2019-03-09 17:04:40 GMT+0300","84444546408","CALL","8151.043","8148.731",0.35,"0.00","-0.35"
1388,"2019-03-09 17:09:50 GMT+0300","84445143608","CALL","8149.307","8150.020","0.70",1.36,"0.66"
1389,"2019-03-09 17:14:58 GMT+0300","84445725368","PUT","8149.977","8151.107",0.35,"0.00","-0.35"
1390,"2019-03-09 17:20:06 GMT+0300","84446341748","CALL","8150.843","8152.582","0.70",1.36,"0.66"
1391,"2019-03-09 17:25:14 GMT+0300","84446951068","CALL","8152.573","8153.215",0.35,0.66,"0.31"
1392,"2019-03-09 17:30:20 GMT+0300","84447568728","PUT","8153.119","8151.390",0.35,0.66,"0.31"
1393,"2019-03-09 17:35:28 GMT+0300","84448186488","PUT","8151.735","8154.507",0.35,"0.00","-0.35"
1394,"2019-03-09 17:40:36 GMT+0300","84448771588","CALL","8154.675","8157.572","0.70",1.36,"0.66"
1395,"2019-03-09 17:45:44 GMT+0300","84449372148","CALL","8157.369","8162.199",0.35,0.66,"0.31"
1396,"2019-03-09 17:50:52 GMT+0300","84449987308","CALL","8162.273","8161.346",0.35,"0.00","-0.35"
1397,"2019-03-09 17:56:00 GMT+0300","84450604088","PUT","8161.144","8162.797","0.70","0.00","-0.70"
1398,"2019-03-09 18:01:08 GMT+0300","84451229748","CALL","8163.242","8161.911","1.40","0.00","-1.40"
1399,"2019-03-09 18:06:16 GMT+0300","84451846628","PUT","8161.833","8163.832","2.80","0.00","-2.80"
1400,"2019-03-09 18:11:24 GMT+0300","84452451868","PUT","8163.634","8164.126","5.60","0.00","-5.60"
1401,"2019-03-09 18:16:32 GMT+0300","84453069528","CALL","8163.959","8161.420","11.20","0.00","-11.20"
1402,"2019-03-09 18:21:40 GMT+0300","84453673368","CALL","8161.649","8163.398","22.40","43.50","21.10"
1403,"2019-03-09 18:26:48 GMT+0300","84454292128","CALL","8163.682","8162.916",0.35,"0.00","-0.35"
1404,"2019-03-09 18:31:56 GMT+0300","84454913768","CALL","8162.920","8165.973","0.70",1.36,"0.66"
1405,"2019-03-09 18:37:04 GMT+0300","84455533208","CALL","8165.283","8162.502",0.35,"0.00","-0.35"
1406,"2019-03-09 18:42:12 GMT+0300","84456147648","PUT","8162.840","8160.404","0.70",1.36,"0.66"
1407,"2019-03-09 18:47:20 GMT+0300","84456766848","PUT","8159.801","8157.845",0.35,0.66,"0.31"
1408,"2019-03-09 18:52:28 GMT+0300","84457359068","PUT","8157.369","8158.336",0.35,"0.00","-0.35"
1409,"2019-03-09 18:57:36 GMT+0300","84457966128","PUT","8158.344","8159.108","0.70","0.00","-0.70"
1410,"2019-03-09 19:02:44 GMT+0300","84458562308","CALL","8159.415","8160.207","1.40",2.72,"1.32"
1411,"2019-03-09 19:07:52 GMT+0300","84459159208","PUT","8158.610","8155.255",0.35,0.66,"0.31"
1412,"2019-03-09 19:12:58 GMT+0300","84459749488","PUT","8155.366","8152.781",0.35,0.66,"0.31"
1413,"2019-03-09 19:18:05 GMT+0300","84460336048","PUT","8151.896","8150.203",0.35,0.66,"0.31"
1414,"2019-03-09 19:23:14 GMT+0300","84460936968","PUT","8150.928","8151.262",0.35,"0.00","-0.35"
1415,"2019-03-09 19:28:22 GMT+0300","84461527148","CALL","8151.316","8152.614","0.70",1.36,"0.66"
1416,"2019-03-09 19:33:30 GMT+0300","84462096308","PUT","8153.300","8154.258",0.35,"0.00","-0.35"
1417,"2019-03-09 19:38:38 GMT+0300","84462693188","CALL","8154.535","8150.504","0.70","0.00","-0.70"
1418,"2019-03-09 19:43:46 GMT+0300","84463295248","PUT","8150.198","8149.210","1.40",2.72,"1.32"
1419,"2019-03-09 19:48:54 GMT+0300","84463893668","PUT","8149.056","8144.633",0.35,0.66,"0.31"
1420,"2019-03-09 19:54:01 GMT+0300","84464496188","PUT","8144.120","8147.933",0.35,"0.00","-0.35"
1421,"2019-03-09 19:59:08 GMT+0300","84465103608","PUT","8148.790","8148.777","0.70",1.36,"0.66"
